Mixed Sound ID,Cluster_K3
M0001,1
M0002,1
M0003,2
M0004,1
M0005,0
M0006,1
M0007,2
M0008,1
M0009,2
M0010,1
M0011,2
M0012,1
M0013,1
M0014,1
M0015,1
M0016,1
M0017,1
M0018,1
M0019,2
M0020,1
M0021,2
M0022,0
M0023,2
M0024,2
M0025,2
M0026,1
M0027,2
M0028,1
M0029,2
M0030,1
M0031,0
M0032,1
M0033,0
M0034,2
M0035,2
M0036,2
M0037,2
M0038,1
M0039,2
M0040,2
M0041,1
M0042,1
M0043,2
M0044,2
M0045,0
M0046,1
M0047,2
M0048,1
M0049,2
M0050,1
M0051,1
M0052,1
M0053,1
M0054,0
M0055,0
M0056,1
M0057,1
M0058,2
M0059,1
M0060,2
M0061,1
M0062,1
M0063,1
M0064,2
M0065,1
M0066,2
M0067,1
M0068,0
M0069,2
M0070,1
M0071,2
M0072,2
M0073,2
M0074,1
M0075,1
M0076,0
M0077,1
M0078,2
M0079,1
M0080,2
M0081,1
M0082,0
M0083,2
M0084,2
M0085,1
M0086,2
M0087,2
M0088,2
M0089,2
M0090,2
M0091,2
M0092,2
M0093,2
M0094,2
M0095,1
M0096,2
M0097,0
M0098,2
M0099,0
M0100,1
M0101,2
M0102,2
M0103,1
M0104,0
M0105,0
M0106,2
M0107,2
M0108,1
M0109,0
M0110,1
M0111,0
M0112,1
M0113,0
M0114,2
M0115,0
M0116,2
M0117,2
M0118,2
M0119,1
M0120,0
M0121,0
M0122,2
M0123,2
M0124,2
M0125,1
M0126,0
M0127,2
M0128,0
M0129,1
M0130,1
M0131,2
M0132,2
M0133,0
M0134,2
M0135,2
M0136,2
M0137,0
M0138,2
M0139,2
M0140,1
M0141,2
M0142,1
M0143,1
M0144,1
M0145,0
